,,neural net,Reggression,linearSVC,rbfSVC,sigmoidSVC,NCC,GNB,DecisionTree,DTR
noH,pres,0.006741573,0.0681818182,0.1810909091,0.006741573,0.0712669683,0.0674157303,0.3571428571,0.2570028011,0.2584051037
,score,0.0337078652,0.3370786517,0.3707865169,0.0337078652,0.0561797753,0.3370786517,0.3820224719,0.2359550562,0.2359550562
,recall,0.2,0.2,0.2244444444,0.2,0.2153846154,0.2,0.2414814815,0.2670655271,0.3301424501
neural net,pres,0.0674157303,0.0584269663,0.1279699248,0.0674157303,0.0732793522,0.0674157303,0.3579710145,0.2309083932,0.2197802198
,score,0.3370786517,0.2921348315,0.2921348315,0.3370786517,0.2584269663,0.3370786517,0.404494382,0.3595505618,0.3033707865
,recall,0.2,0.2,0.1928205128,0.2,0.2358974359,0.2,0.2548148148,0.2277492877,0.1898575499
Reggression,pres,0.0674157303,0.0584269663,0.3310308739,0.0674157303,0.0732793522,0.0674157303,0.3579710145,0.2188394277,0.1949788584
,score,0.3370786517,0.2921348315,0.3258426966,0.3370786517,0.2584269663,0.3370786517,0.404494382,0.3370786517,0.3258426966
,recall,0.2,0.2,0.2063817664,0.2,0.2358974359,0.2,0.2548148148,0.2123646724,0.2027920228
linearSVC,pres,0.2609625668,0.2389037433,0.387012987,0.2609625668,0.1897947214,0.2609625668,0.3897411616,0.3848204736,0.2715151515
,score,0.5617977528,0.5280898876,0.5730337079,0.5617977528,0.5168539326,0.5617977528,0.595505618,0.5730337079,0.5280898876
,recall,0.3534482759,0.5,0.3938992042,0.3534482759,0.3777777778,0.3534482759,0.4750957854,0.3542587681,0.2790450928
rbfSVC,pres,0.0674157303,0.0584269663,0.1525874126,0.0674157303,0.0732793522,0.0674157303,0.3579710145,0.2320512821,0.2116290727
,score,0.3370786517,0.2921348315,0.3595505618,0.3370786517,0.2584269663,0.3370786517,0.404494382,0.3258426966,0.3033707865
,recall,0.2,0.2,0.2303703704,0.2,0.2358974359,0.2,0.2548148148,0.2052421652,0.1892877493
sigmoidSVC,pres,0.2501336898,0.2427807487,0.3666144201,0.2501336898,0.196969697,0.2501336898,0.6449300699,0.3791919192,0.3782395382
,score,0.5280898876,0.5168539326,0.5505617978,0.5280898876,0.5056179775,0.5280898876,0.5730337079,0.5280898876,0.5280898876
,recall,0.3384453782,0.4928571429,0.3801120448,0.3384453782,0.3776190476,0.3384453782,0.4726365546,0.3496778711,0.3496778711
NCC,pres,0.3620689655,0.3620689655,0.3620689655,0.3620689655,0.3620689655,0.3620689655,0.8620689655,0.8620689655,0.1465517241
,score,0.5842696629,0.5842696629,0.5842696629,0.5842696629,0.5842696629,0.5842696629,0.595505618,0.595505618,0.5730337079
,recall,0.3423423423,0.6666666667,0.3423423423,0.3423423423,0.6666666667,0.3423423423,0.6756756757,0.6756756757,0.25
GNB,pres,0.196969697,0.5303030303,0.5303030303,0.196969697,0.5303030303,0.196969697,0.196969697,0.5303030303,0.196969697
,score,0.5842696629,0.595505618,0.595505618,0.5842696629,0.595505618,0.5842696629,0.5842696629,0.595505618,0.5842696629
,recall,0.3333333333,0.6666666667,0.6666666667,0.3333333333,0.6666666667,0.3333333333,0.3333333333,0.6666666667,0.3333333333
DecisionTree,pres,0.2069143447,0.2016511868,0.2084790673,0.2069143447,0.1990196078,0.2069143447,0.5292827657,0.3831372549,0.3156862745
,score,0.5505617978,0.5393258427,0.5505617978,0.5505617978,0.5280898876,0.5505617978,0.6292134831,0.5730337079,0.5617977528
,recall,0.2916666667,0.4,0.2916666667,0.2916666667,0.38,0.2916666667,0.4283333333,0.3441666667,0.3208333333
DTR,pres,0.2075757576,0.1897979798,0.1920718816,0.2075757576,0.1945676275,0.2075757576,0.5084148117,0.410341864,0.3570175439
,score,0.5168539326,0.4719101124,0.4719101124,0.5168539326,0.4719101124,0.5168539326,0.5730337079,0.5393258427,0.5168539326
,recall,0.3008928571,0.39375,0.39375,0.3008928571,0.39375,0.3008928571,0.4120846066,0.3667828495,0.3507018717
